# name                           rah         dech        velmin velmax shif 
  15                             12:09:54.58 +13:03:00.0 2424.0 2644.0 1.48 
  22                             12:10:24.39 +13:10:14.2 1646.0 1736.0 0.7  
  24                             12:10:35.68 +11:45:38.9 1134.0 1442.0 3.8  
  26                             12:10:40.89 +14:38:46.5 2434.0 2504.0 1.0  
  34                             12:11:09.96 +13:35:15.1 168.0  360.0  4.02 
  41                             12:12:04.39 +12:44:28.1 2174.0 2232.0 0.2  
  47                             12:12:11.81 +13:14:47.5 1655.0 2063.0 1.02 
  48                             12:12:15.08 +12:29:16.8 -117.1 11.12  7.35 
  58                             12:12:32.33 +12:07:25.7 2024.0 2402.0 12.0 
  66                             12:12:46.33 +10:51:54.9 153.2  556.8  95.4 
  67                             12:12:48.46 +13:58:34.4 -294.0 -72.0  6.14 
  81                             12:13:26.32 +14:46:19.3 1999.0 2153.0 6.25 
  83                             12:13:33.24 +14:28:55.3 2354.0 2524.0 1.6  
  85                             12:13:35.81 +13:02:04.4 1873.0 1991.0 0.14 
  89                             12:13:47.23 +13:25:29.5 1914.0 2316.0 11.9 
  92                             12:13:48.22 +14:54:01.5 -482.8 220.8  83.7 
  93                             12:13:48.24 +12:41:26.2 863.5  956.5  0.55 
  97                             12:13:53.58 +13:10:22.1 2191.0 2741.0 4.92 
  113                            12:14:32.98 +12:06:11.1 2040.0 2278.0 2.12 
  119                            12:14:37.89 +12:48:50.0 523.8  726.2  4.57 
  126                            12:14:55.23 +13:27:39.4 217.8  306.2  4.63 
  130                            12:15:04.00 +09:45:13.1 2100.0 2278.0 1.06 
  131                            12:15:04.44 +14:01:44.1 2086.0 2552.0 12.54
  132                            12:15:03.92 +13:01:56.0 2056.0 2114.0 1.9  
#  135                            12:15:06.79 +12:01:00.0 0.0    0.0    0.0  
  143                            12:15:16.34 +13:28:26.4 267.2  502.8  1.12 
  145                            12:15:16.77 +13:01:26.5 491.2  912.8  35.8 
  152                            12:15:30.49 +09:35:06.4 439.0  763.0  5.98 
#  156                            12:15:35.79 +11:44:40.4 0.0    0.0    0.0  
  157                            12:15:39.37 +13:54:06.1 -284.5 120.5  7.0  
  159                            12:15:39.01 +08:17:05.0 2534.0 2634.0 1.48 
  162                            12:15:46.16 +10:41:57.3 1816.0 2144.0 11.2 
  167                            12:15:54.30 +13:08:58.6 -283.2 525.2  32.55
  168                            12:15:53.78 +14:01:30.3 635.5  728.5  0.33 
  169                            12:15:55.76 +09:39:04.1 2196.0 2248.0 4.9  
  170                            12:15:56.32 +14:25:59.1 1449.0 1537.0 0.41 
  171                            12:16:11.99 +08:22:24.0 853.2  896.8  0.06 
#  173                            12:16:00.41 +08:12:08.1 0.0    0.0    0.0  
  180                            12:16:13.03 +07:55:44.9 2185.0 2279.0 0.27 
#  181                            12:16:14.68 +13:35:10.0 0.0    0.0    0.0  
#  183                            12:16:15.35 +14:14:33.9 0.0    0.0    0.0  
  187                            12:16:22.59 +13:18:25.7 51.0   399.0  12.6 
  199                            12:16:33.81 +07:27:43.0 2188.0 3018.0 2.65 
#  204                            12:16:38.97 +12:52:21.4 0.0    0.0    0.0  
  207                            12:16:47.81 +08:02:57.0 2503.0 2625.0 0.73 
  209                            12:16:52.51 +14:30:52.3 1148.0 1268.0 0.57 
  213                            12:16:56.01 +13:37:31.7 -264.0 -54.0  1.45 
#  216                            12:17:01.11 +09:24:27.2 0.0    0.0    0.0  
  217                            12:17:04.16 +10:00:19.8 1128.0 1242.0 5.95 
#  218                            12:17:05.38 +12:17:21.7 0.0    0.0    0.0  
#  220                            12:17:07.68 +07:37:27.4 0.0    0.0    0.0  
#  222                            12:17:09.91 +07:11:29.3 0.0    0.0    0.0  
  224                            12:17:09.30 +12:27:14.4 1929.0 2289.0 6.06 
  226                            12:17:11.41 +15:19:26.4 665.2  1069.0 3.09 
  237                            12:17:29.54 +14:53:10.3 -357.5 -288.5 0.43 
  241                            12:17:33.85 +12:23:19.0 -250.2 -77.75 7.76 
#  255                            12:17:46.60 +07:15:44.9 0.0    0.0    0.0  
  281                            12:18:15.35 +13:44:56.8 179.0  281.0  0.56 
  304                            12:18:43.99 +12:23:10.2 120.9  189.1  0.51 
  307                            12:18:49.57 +14:24:59.6 2231.0 2585.0 75.7 
  309                            12:18:51.31 +12:35:53.3 1513.0 1595.0 0.75 
  318                            12:19:03.10 +08:51:21.4 2334.0 2602.0 10.2 
  322                            12:19:05.14 +13:58:51.9 -287.0 -131.0 2.58 
#  327                            12:19:12.38 +06:22:54.0 0.0    0.0    0.0  
  328                            12:19:11.24 +12:53:06.6 2101.0 2261.0 1.4  
  329                            12:19:13.81 +05:59:12.0 1572.0 1672.0 0.77 
  331                            12:19:15.56 +06:17:38.0 663.8  806.2  0.56 
  334                            12:19:14.21 +13:52:56.2 -299.5 -200.5 1.3  
  340                            12:19:22.13 +05:54:38.1 1452.0 1572.0 2.73 
  343                            12:19:21.82 +07:52:16.2 2418.0 2534.0 0.77 
  350                            12:19:26.37 +13:18:27.4 275.8  334.2  1.37 
  355                            12:19:30.57 +14:52:39.6 1056.0 1676.0 4.7  
#  357                            12:19:35.14 +06:27:11.2 0.0    0.0    0.0  
  379                            12:19:51.94 +05:59:41.7 1434.0 1490.0 0.78 
  380                            12:19:52.52 +07:43:52.3 3677.0 3881.0 1.72 
  381                            12:19:53.47 +06:39:56.9 455.8  508.2  1.41 
  393                            12:20:07.49 +07:41:30.7 2510.0 2722.0 4.66 
#  409                            12:20:23.16 +06:08:05.7 0.0    0.0    0.0  
  410                            12:20:21.89 +12:11:15.4 244.8  321.2  0.35 
  413                            12:20:23.31 +13:53:53.0 241.2  302.8  0.14 
#  414                            12:20:24.35 +14:41:28.3 0.0    0.0    0.0  
  415                            12:20:25.30 +06:54:32.0 2464.0 2656.0 1.54 
#  416                            12:20:26.72 +12:47:49.4 0.0    0.0    0.0  
  428                            12:20:40.35 +13:53:20.3 738.0  846.0  0.62 
  429                            12:20:43.91 +14:37:52.0 526.5  673.5  0.27 
#  436                            12:20:48.83 +06:43:24.7 0.0    0.0    0.0  
  446                            12:20:57.83 +06:20:22.2 782.2  867.8  0.38 
  448                            12:21:00.18 +12:43:34.1 630.8  713.2  0.91 
#  450                            12:21:03.68 +07:04:39.4 0.0    0.0    0.0  
  453                            12:21:06.01 +11:35:43.2 840.2  979.8  0.75 
  465                            12:21:17.83 +11:30:37.7 198.0  516.0  26.8 
#  476                            12:21:29.08 +10:29:09.6 0.0    0.0    0.0  
  477                            12:21:27.21 +15:01:16.0 1839.0 1893.0 0.5  
  479                            12:21:29.23 +08:09:04.6 2478.0 2594.0 0.28 
  483                            12:21:32.74 +14:36:22.8 946.0  1324.0 12.9 
#  488                            12:21:39.29 +07:15:13.3 0.0    0.0    0.0  
  491                            12:21:40.80 +11:30:10.2 135.0  333.0  20.4 
  497                            12:21:42.29 +14:35:52.5 870.0  1428.0 25.7 
#  501                            12:21:48.00 +12:49:36.1 0.0    0.0    0.0  
  509                            12:21:55.57 +06:27:03.0 1148.0 1368.0 2.39 
  512                            12:21:55.54 +11:58:01.6 66.0   240.0  3.69 
  514                            12:21:57.47 +08:40:29.8 816.8  887.2  1.05 
  524                            12:22:05.66 +09:02:37.3 828.2  1316.0 1.14 
#  525                            12:22:06.48 +06:46:56.8 0.0    0.0    0.0  
  530                            12:22:07.68 +15:47:56.1 1264.0 1332.0 0.59 
  534                            12:22:12.38 +07:08:39.5 863.8  1300.0 0.35 
  559                            12:22:31.34 +15:32:16.5 -10.5  316.5  1.8  
  562                            12:22:35.60 +12:09:26.5 3.875  84.12  0.82 
  565                            12:22:38.43 +06:00:50.4 835.8  918.2  0.47 
  566                            12:22:37.79 +08:17:48.2 1340.0 1474.0 3.12 
  567                            12:22:39.00 +06:40:38.0 2197.0 2523.0 5.27 
  568                            12:22:39.67 +06:13:37.2 470.5  665.5  0.96 
  570                            12:22:38.59 +11:48:04.0 1242.0 1644.0 1.9  
#  571                            12:22:41.10 +07:57:01.4 0.0    0.0    0.0  
  576                            12:22:42.25 +09:19:56.7 1009.0 1495.0 12.58
  584                            12:22:48.23 +07:54:49.4 20.75  91.25  0.08 
  593                            12:22:52.80 +06:40:48.2 1433.0 1647.0 1.8  
  596                            12:22:54.91 +15:49:20.2 1383.0 1753.0 48.4 
#  611                            12:23:04.84 +08:20:00.5 0.0    0.0    0.0  
  613                            12:23:06.19 +05:15:01.1 1433.0 1915.0 9.8  
  618                            12:23:07.39 +13:44:40.2 1848.0 1932.0 1.28 
  620                            12:23:09.58 +11:43:34.4 556.5  733.5  1.52 
  630                            12:23:17.10 +11:22:05.7 1366.0 1764.0 5.7  
#  636                            12:23:21.24 +15:52:05.7 0.0    0.0    0.0  
  641                            12:23:28.52 +05:48:59.2 831.0  981.0  1.13 
#  651                            12:23:34.65 +09:30:55.0 0.0    0.0    0.0  
  656                            12:23:38.72 +06:57:15.0 759.8  1268.0 4.9  
  664                            12:23:44.42 +12:28:41.2 -509.2 -354.8 3.7  
  667                            12:23:48.52 +07:11:12.5 1289.0 1555.0 1.75 
#  672                            12:23:53.46 +07:06:25.7 0.0    0.0    0.0  
#  679                            12:23:54.73 +11:29:25.4 0.0    0.0    0.0  
  688                            12:24:00.24 +07:47:06.6 988.2  1260.0 1.66 
  692                            12:24:01.50 +12:12:17.0 2208.0 2386.0 4.2  
  693                            12:24:03.22 +05:10:51.3 1963.0 2133.0 1.84 
  697                            12:24:05.53 +07:02:28.7 1169.0 1281.0 1.33 
  699                            12:24:07.55 +06:36:27.4 644.0  812.0  8.54 
  713                            12:24:14.67 +08:32:12.6 916.8  1359.0 1.0  
  740                            12:24:39.61 +08:30:13.3 782.2  969.8  1.24 
  758                            12:24:54.91 +07:26:40.0 543.5  1026.0 3.17 
  763                            12:25:03.74 +12:53:13.1 812.5  1188.0 13.37
  764                            12:25:05.61 +05:19:44.9 1919.0 2169.0 1.0  
  768                            12:25:03.71 +17:00:58.5 2294.0 2578.0 1.82 
#  781                            12:25:15.20 +12:42:52.4 0.0    0.0    0.0  
  787                            12:25:18.09 +05:44:28.7 1010.0 1266.0 4.89 
  792                            12:25:22.15 +10:01:00.3 749.5  1184.0 3.0  
  793                            12:25:21.60 +13:04:13.6 1876.0 1938.0 0.65 
  801                            12:25:25.46 +16:28:11.8 1546.0 1874.0 44.2 
#  802                            12:25:29.17 +13:29:55.7 0.0    0.0    0.0  
  809                            12:25:33.25 +12:15:34.9 -272.8 -13.25 3.57 
#  825                            12:25:39.62 +10:35:00.8 0.0    0.0    0.0  
  827                            12:25:42.80 +07:12:56.9 887.2  1333.0 22.7 
  836                            12:25:46.73 +12:39:41.8 2228.0 2818.0 8.8  
  841                            12:25:47.50 +14:57:08.6 455.2  546.8  0.6  
  848                            12:25:52.42 +05:48:32.9 1431.0 1643.0 5.62 
  849                            12:25:50.66 +10:27:32.6 990.5  1216.0 5.6  
  851                            12:25:54.08 +07:33:17.7 1033.0 1343.0 6.1  
  865                            12:25:59.11 +15:40:16.6 -273.5 17.5   10.38
#  870                            12:26:05.35 +11:48:44.0 0.0    0.0    0.0  
  873                            12:26:07.95 +13:06:45.0 30.25  433.8  8.0  
  874                            12:26:07.14 +16:10:51.7 1620.0 1874.0 0.94 
  881                            12:26:11.76 +12:56:46.5 -374.8 -79.25 1.31 
  888                            12:26:18.40 +08:20:57.4 1020.0 1160.0 1.44 
  890                            12:26:21.55 +06:40:10.4 1434.0 1532.0 0.17 
  905                            12:26:29.90 +08:52:19.9 1232.0 1344.0 7.5  
  912                            12:26:32.25 +12:36:38.5 -21.75 213.8  2.64 
  938                            12:26:46.74 +07:55:08.0 1283.0 1501.0 4.8  
  939                            12:26:47.23 +08:53:04.6 1200.0 1336.0 14.5 
  945                            12:26:50.83 +13:10:36.9 -43.75 11.75  2.37 
  950                            12:26:50.78 +11:33:27.1 1044.0 1154.0 9.52 
  952                            12:26:55.62 +09:52:56.9 937.0  1033.0 1.05 
  958                            12:26:56.41 +15:02:50.5 -469.0 -79.0  1.7  
  963                            12:26:59.37 +14:46:57.1 1827.0 1905.0 0.78 
  971                            12:27:08.98 +05:52:48.1 984.8  1241.0 14.6 
  975                            12:27:11.29 +07:15:46.9 813.5  1050.0 17.7 
  979                            12:27:11.68 +09:25:13.8 379.8  498.2  2.0  
  980                            12:27:11.39 +15:53:50.2 2238.0 2440.0 3.52 
  989                            12:27:17.67 +07:40:11.4 1805.0 1887.0 0.46 
#  994                            12:27:20.42 +16:25:43.2 0.0    0.0    0.0  
  995                            12:27:22.23 +10:52:00.1 807.5  1050.0 12.08
  1001                           12:27:24.61 +13:42:59.6 310.2  365.8  0.45 
  1002                           12:27:26.36 +06:15:45.8 1337.0 1565.0 6.7  
#  1003                           12:27:26.51 +11:06:28.0 0.0    0.0    0.0  
  1011                           12:27:29.02 +07:38:37.0 769.0  979.0  1.78 
  1013                           12:27:30.20 +09:20:27.3 1673.0 1751.0 0.26 
  1021                           12:27:33.37 +10:00:13.6 811.8  924.2  0.35 
  1043                           12:27:45.65 +13:00:31.9 -159.8 219.8  6.1  
  1048                           12:27:55.39 +05:43:15.9 2081.0 2423.0 2.15 
#  1078                           12:28:11.34 +09:45:37.0 0.0    0.0    0.0  
  1086                           12:28:15.96 +09:26:10.6 159.8  560.2  0.93 
  1091                           12:28:18.77 +08:43:47.0 974.5  1260.0 16.13
  1110                           12:28:29.58 +17:05:06.1 1715.0 2193.0 6.6  
  1114                           12:28:33.75 +08:38:24.6 535.2  584.8  0.28 
  1118                           12:28:40.51 +09:15:33.2 692.0  1028.0 2.68 
  1126                           12:28:43.24 +14:59:58.2 1529.0 1827.0 0.89 
  1141                           12:28:54.98 +09:25:15.8 959.0  1121.0 0.56 
  1142                           12:28:55.44 +08:49:01.6 1277.0 1335.0 0.74 
#  1154                           12:29:00.04 +13:58:42.5 0.0    0.0    0.0  
#  1175                           12:29:18.20 +10:08:09.1 0.0    0.0    0.0  
  1179                           12:29:22.65 +09:59:19.1 690.5  837.5  0.43 
  1188                           12:29:26.32 +16:24:17.5 1472.0 1636.0 0.26 
  1189                           12:29:29.00 +06:46:12.7 451.5  634.5  4.17 
  1190                           12:29:28.02 +08:44:59.2 466.8  549.2  0.35 
  1193                           12:29:30.55 +07:41:47.0 590.2  915.8  3.92 
  1200                           12:29:35.58 +10:47:37.1 -195.0 -51.0  2.41 
